"No.","Ticker","Company","Country","Market Cap","Shares Float","Insider Ownership","Insider Transactions","Institutional Ownership","Institutional Transactions","Float Short","Short Interest","Performance (1 Minute)","Performance (2 Minutes)","Performance (3 Minutes)","Performance (5 Minutes)","Performance (10 Minutes)","Performance (15 Minutes)","Performance (30 Minutes)","Performance (1 Hour)","Performance (2 Hours)","Performance (4 Hours)","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","Average True Range","Volatility (Week)","Volatility (Month)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","Earnings Date","Change from Open","Gap","Average Volume","Relative Volume","Volume","Prev Close","Open","High","Low","Price","Change","After-Hours Close"
1,"CGBS","Crown LNG Holdings Ltd .","United Kingdom",33.05,1.36,84.60%,0.00%,9.76%,-6.10%,0.02%,0.00,-0.80%,1.63%,1.08%,0.81%,-0.57%,-1.58%,1.08%,-0.27%,-2.36%,-6.28%,-55.06%,-68.19%,-67.17%,-66.21%,-62.89%,-66.49%,1.73,60.13%,31.70%,-54.16%,-63.17%,-65.08%,,1.36%,7.29%,321.93,311.91,5020775,3.43,3.68,3.73,3.68,3.73,8.75%,
2,"UPC","Universe Pharmaceuticals INC","China",14.09,1.57,57.05%,0.00%,0.04%,-83.88%,0.84%,0.01,0.00%,-3.02%,-4.93%,-4.69%,-5.16%,-4.93%,-3.50%,-3.26%,0.26%,2.66%,3.76%,64.96%,124.42%,36.88%,73.87%,92.04%,0.42,20.80%,11.37%,36.96%,49.75%,110.21%,1/30/2024 4:30:00 PM,0.00%,16.97%,62.31,34.88,108679,3.30,3.86,3.86,3.85,3.86,16.97%,
3,"MLGO","MicroAlgo Inc","China",27.70,1.71,77.57%,0.00%,0.14%,-0.51%,134.57%,2.30,0.00%,-0.28%,0.27%,1.11%,1.67%,1.39%,2.53%,0.12%,-10.57%,3.41%,-43.13%,-16.90%,30.00%,-52.91%,-84.64%,-60.09%,2.71,40.44%,45.33%,-57.12%,-30.52%,-72.64%,,0.27%,5.52%,8718.83,3.39,1478465,3.44,3.63,3.65,3.60,3.64,5.81%,
4,"CRKN","Crown ElectroKinetics Corp","USA",10.80,2.77,0.02%,0.00%,0.07%,,6.94%,0.19,0.26%,0.25%,0.26%,0.52%,1.30%,0.28%,0.27%,1.31%,1.56%,1.04%,2.63%,-69.52%,-52.12%,-79.77%,-99.50%,-82.37%,1.98,11.19%,19.89%,-29.48%,-62.69%,-81.40%,4/1/2024 8:30:00 AM,0.26%,0.00%,1353.39,8.44,571092,3.89,3.89,3.90,3.81,3.90,0.26%,
5,"ASNS","Actelis Networks Inc","USA",12.40,5.75,4.43%,0.00%,5.80%,-44.36%,7.28%,0.42,-1.44%,-1.44%,-3.29%,-2.83%,0.00%,-1.90%,-2.79%,-3.29%,13.81%,11.96%,29.56%,37.33%,140.35%,73.11%,-40.63%,83.93%,0.32,11.39%,18.27%,23.02%,76.44%,84.34%,3/26/2024 4:30:00 PM,1.98%,8.60%,4849.55,9.05,2195598,1.86,2.02,2.08,2.02,2.06,10.75%,
6,"PHUN","Phunware Inc","USA",58.30,7.91,1.45%,8.10%,20.52%,,13.27%,1.05,-3.20%,-2.68%,-4.47%,-5.10%,-6.32%,-6.68%,-6.92%,-5.59%,-11.03%,-9.92%,26.48%,25.61%,-0.14%,93.09%,-63.61%,77.08%,0.51,5.96%,7.59%,29.66%,17.16%,-12.25%,5/9/2024 4:30:00 PM,-3.33%,28.82%,364.42,214.19,3902709,5.83,7.51,7.49,7.26,7.26,24.53%,
7,"AMIX","Autonomix Medical Inc.","USA",18.32,8.19,56.40%,0.00%,0.18%,,0.39%,0.03,0.52%,-0.40%,-1.55%,-2.04%,-1.71%,-3.47%,-0.68%,-26.69%,22.03%,22.03%,83.27%,-30.85%,-65.91%,,,-80.77%,0.20,10.71%,21.16%,4.72%,-45.50%,-65.42%,,3.15%,52.94%,465.28,1014.41,23599503,0.62,0.95,1.01,0.95,0.98,57.77%,
8,"MIRA","Mira Pharmaceuticals Inc","USA",12.69,9.75,34.05%,0.17%,4.20%,,0.16%,0.02,-6.29%,-1.56%,-1.90%,-4.62%,-7.62%,-2.45%,-8.68%,-8.61%,2.19%,36.54%,56.70%,16.00%,-4.68%,-12.84%,,-18.25%,0.08,11.12%,7.87%,32.07%,16.95%,-43.10%,05/29/2024,-2.45%,49.36%,114.26,2808.46,16044588,0.59,0.88,0.92,0.86,0.86,45.69%,
9,"MWG","Multi Ways Holdings Ltd","Singapore",19.43,10.26,66.75%,0.00%,0.31%,,0.40%,0.04,0.02%,1.60%,1.61%,-0.79%,0.17%,2.11%,5.00%,8.43%,8.62%,17.93%,40.28%,66.67%,101.28%,133.77%,2.46%,180.37%,0.07,24.24%,19.13%,68.29%,75.96%,95.88%,,0.83%,17.25%,839.99,34.27,1439138,0.53,0.62,0.62,0.62,0.63,18.22%,
10,"CDT","Conduit Pharmaceuticals Inc","USA",20.67,10.34,86.00%,0.00%,2.18%,1.77%,0.71%,0.07,0.00%,-2.34%,-2.34%,-2.34%,-0.53%,-0.53%,-2.03%,-0.11%,-2.10%,-2.85%,-44.00%,-86.98%,-91.19%,-93.75%,-97.33%,-93.85%,0.22,34.09%,31.28%,-73.01%,-87.09%,-90.53%,,0.00%,6.67%,259.24,28.46,368959,0.26,0.28,0.28,0.28,0.28,6.67%,
11,"MULN","Mullen Automotive Inc","USA",34.14,14.21,11.34%,-1.35%,8.12%,,23.89%,3.39,-2.29%,-2.30%,-3.15%,-3.18%,-2.74%,-4.91%,1.43%,1.91%,0.43%,0.47%,-6.99%,-23.93%,-43.43%,-82.75%,-98.49%,-85.09%,0.26,6.69%,7.78%,-13.01%,-42.67%,-82.52%,5/14/2024 4:30:00 PM,-2.74%,5.29%,5050.11,2.28,575924,2.08,2.19,2.20,2.13,2.13,2.40%,
12,"MSTR","Microstrategy Inc.","USA",26857.12,15.76,11.13%,-18.22%,55.57%,-3.18%,17.43%,2.75,-0.33%,-0.08%,-0.46%,-0.27%,-0.27%,0.04%,0.73%,0.59%,1.67%,1.20%,17.31%,-5.60%,2.32%,182.35%,227.81%,139.69%,99.10,5.69%,6.51%,7.92%,4.69%,59.81%,8/1/2024 4:30:00 PM,-0.33%,8.75%,1313.79,2.12,139273,1396.76,1518.99,1524.00,1510.08,1513.93,8.39%,
